experiment,sweep_id,repeat_index,M,N,K,iters,ops_nominal,dtype,locality,operand_dist_a,operand_dist_b,util_frac,energy_j,duration_s,mean_power_w,meter_method,r_j_per_op,gpu_name,gpu_uuid,driver_version,cuda_version,torch_version,persistence_mode,sm_clock_mhz,mem_clock_mhz,power_limit_w,temperature_c,throttled,throttle_reasons,clocks_locked,timestamp_utc,trimmed,sm_clock_p50_mhz,sm_clock_min_mhz,sm_clock_max_mhz,temperature_max_c,throttle_union,idle_variant
0,796438566c67,0,2048,2048,2048,18194,312570539933696,fp16,streamed,reference_drift,reference_drift,,650.892,1.3265957310213707,490.64834506806847,nvml_energy_counter,2.0823843479877228e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1350,1593,500.0,61.0,False,4,False,2026-07-21T03:32:44.271050+00:00,False,1350.0,1350.0,1365.0,56.0,4,
0,796438566c67,1,2048,2048,2048,18194,312570539933696,fp16,streamed,reference_drift,reference_drift,,650.014,1.327623083954677,489.607334985289,nvml_energy_counter,2.07957538204939e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1350,1593,500.0,61.0,False,4,False,2026-07-21T03:32:44.271050+00:00,False,1350.0,1335.0,1350.0,57.0,4,
0,796438566c67,2,2048,2048,2048,18194,312570539933696,fp16,streamed,reference_drift,reference_drift,,699.999,1.3287410190096125,526.813720646443,nvml_energy_counter,2.239491284586472e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1350,1593,500.0,61.0,False,4,False,2026-07-21T03:32:44.271050+00:00,True,1350.0,1335.0,1350.0,58.0,4,
0,796438566c67,3,2048,2048,2048,18194,312570539933696,fp16,streamed,reference_drift,reference_drift,,653.43,1.3296913569793105,491.4147907860449,nvml_energy_counter,2.0905041151306476e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1350,1593,500.0,61.0,False,4,False,2026-07-21T03:32:44.271050+00:00,False,1350.0,1335.0,1380.0,60.0,4,
0,796438566c67,4,2048,2048,2048,18194,312570539933696,fp16,streamed,reference_drift,reference_drift,,652.208,1.3298802549834363,490.4261098365757,nvml_energy_counter,2.0865945976173876e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1350,1593,500.0,61.0,False,4,False,2026-07-21T03:32:44.271050+00:00,False,1350.0,1320.0,1350.0,61.0,4,
1,796438566c67,0,2048,2048,2048,8579,147386097729536,tf32,resident,zeros,zeros,,430.389,1.4374747599940747,299.4063005334258,nvml_energy_counter,2.920146517413023e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,50.0,False,0,False,2026-07-21T03:32:55.953161+00:00,False,1410.0,1410.0,1410.0,50.0,0,
1,796438566c67,1,2048,2048,2048,8579,147386097729536,tf32,resident,zeros,zeros,,400.19,1.437825764005538,278.3299687753116,nvml_energy_counter,2.7152493088892086e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,50.0,False,0,False,2026-07-21T03:32:55.953161+00:00,False,1410.0,1410.0,1410.0,50.0,0,
1,796438566c67,2,2048,2048,2048,8579,147386097729536,tf32,resident,zeros,zeros,,430.477,1.436832856037654,299.60130587988084,nvml_energy_counter,2.9207435886521398e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,50.0,False,0,False,2026-07-21T03:32:55.953161+00:00,True,1410.0,1410.0,1410.0,50.0,0,
1,796438566c67,3,2048,2048,2048,8579,147386097729536,tf32,resident,zeros,zeros,,400.672,1.4376565339625813,278.6979995114943,nvml_energy_counter,2.7185196309034634e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,50.0,False,0,False,2026-07-21T03:32:55.953161+00:00,False,1410.0,1410.0,1410.0,50.0,0,
1,796438566c67,4,2048,2048,2048,8579,147386097729536,tf32,resident,zeros,zeros,,403.538,1.4360922040068544,280.9972778029745,nvml_energy_counter,2.7379651555774344e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,50.0,False,0,False,2026-07-21T03:32:55.953161+00:00,False,1410.0,1410.0,1410.0,50.0,0,
