experiment,sweep_id,repeat_index,M,N,K,iters,flops,dtype,locality,operand_dist_a,operand_dist_b,util_frac,energy_j,duration_s,mean_power_w,meter_method,r_j_per_flop,gpu_name,gpu_uuid,driver_version,cuda_version,torch_version,persistence_mode,sm_clock_mhz,mem_clock_mhz,power_limit_w,temperature_c,throttled,throttle_reasons,clocks_locked,timestamp_utc
0,a754ce2c43a9,0,8192,8192,8192,363,399122720882688,fp16,dram,reference_drift,reference_drift,,689.733,1.471301860990934,468.79095193657884,nvml_energy_counter,1.7281226147050884e-12,NVIDIA A100-SXM4-80GB,GPU-1e085f5c-e8d5-3d9c-8462-3657043b381b,595.71.05,13020,2.5.1+cu124,True,1305,1593,500.0,67.0,False,4,False,2026-07-01T23:06:26.435665+00:00
0,a754ce2c43a9,1,8192,8192,8192,363,399122720882688,fp16,dram,reference_drift,reference_drift,,725.403,1.4787786090746522,490.54198887413037,nvml_energy_counter,1.8174936230032713e-12,NVIDIA A100-SXM4-80GB,GPU-1e085f5c-e8d5-3d9c-8462-3657043b381b,595.71.05,13020,2.5.1+cu124,True,1305,1593,500.0,67.0,False,4,False,2026-07-01T23:06:26.435665+00:00
0,a754ce2c43a9,2,8192,8192,8192,363,399122720882688,fp16,dram,reference_drift,reference_drift,,733.811,1.4811101370723918,495.44661239742345,nvml_energy_counter,1.838559825351775e-12,NVIDIA A100-SXM4-80GB,GPU-1e085f5c-e8d5-3d9c-8462-3657043b381b,595.71.05,13020,2.5.1+cu124,True,1305,1593,500.0,67.0,False,4,False,2026-07-01T23:06:26.435665+00:00
0,a754ce2c43a9,3,8192,8192,8192,363,399122720882688,fp16,dram,reference_drift,reference_drift,,739.938,1.4750899740029126,501.6222827357777,nvml_energy_counter,1.8539109934998814e-12,NVIDIA A100-SXM4-80GB,GPU-1e085f5c-e8d5-3d9c-8462-3657043b381b,595.71.05,13020,2.5.1+cu124,True,1305,1593,500.0,67.0,False,4,False,2026-07-01T23:06:26.435665+00:00
1,a754ce2c43a9,0,8192,8192,8192,385,423311976693760,bf16,dram,dense_random,dense_random,,747.646,1.5236382640432566,490.69783664790793,nvml_energy_counter,1.7661820150694096e-12,NVIDIA A100-SXM4-80GB,GPU-1e085f5c-e8d5-3d9c-8462-3657043b381b,595.71.05,13020,2.5.1+cu124,True,1320,1593,500.0,73.0,False,4,False,2026-07-01T23:06:38.839511+00:00
1,a754ce2c43a9,1,8192,8192,8192,385,423311976693760,bf16,dram,dense_random,dense_random,,748.724,1.5257735030027106,490.7176579790624,nvml_energy_counter,1.768728600234374e-12,NVIDIA A100-SXM4-80GB,GPU-1e085f5c-e8d5-3d9c-8462-3657043b381b,595.71.05,13020,2.5.1+cu124,True,1320,1593,500.0,73.0,False,4,False,2026-07-01T23:06:38.839511+00:00
1,a754ce2c43a9,2,8192,8192,8192,385,423311976693760,bf16,dram,dense_random,dense_random,,749.577,1.5222084380220622,492.42730579919174,nvml_energy_counter,1.7707436625216784e-12,NVIDIA A100-SXM4-80GB,GPU-1e085f5c-e8d5-3d9c-8462-3657043b381b,595.71.05,13020,2.5.1+cu124,True,1320,1593,500.0,73.0,False,4,False,2026-07-01T23:06:38.839511+00:00
1,a754ce2c43a9,3,8192,8192,8192,385,423311976693760,bf16,dram,dense_random,dense_random,,751.134,1.5212104649981484,493.77388420800423,nvml_energy_counter,1.7744218008350823e-12,NVIDIA A100-SXM4-80GB,GPU-1e085f5c-e8d5-3d9c-8462-3657043b381b,595.71.05,13020,2.5.1+cu124,True,1320,1593,500.0,73.0,False,4,False,2026-07-01T23:06:38.839511+00:00
1,a754ce2c43a9,0,2048,2048,2048,24518,421216032653312,int8,cache,dense_random,dense_random,,583.573,1.372469580033794,425.19922371294433,nvml_energy_counter,1.385448213649356e-12,NVIDIA A100-SXM4-80GB,GPU-1e085f5c-e8d5-3d9c-8462-3657043b381b,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,72.0,False,0,False,2026-07-01T23:06:49.911138+00:00
1,a754ce2c43a9,1,2048,2048,2048,24518,421216032653312,int8,cache,dense_random,dense_random,,583.91,1.3719445440219715,425.60758198594414,nvml_energy_counter,1.3862482781622789e-12,NVIDIA A100-SXM4-80GB,GPU-1e085f5c-e8d5-3d9c-8462-3657043b381b,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,72.0,False,0,False,2026-07-01T23:06:49.911138+00:00
