experiment,sweep_id,repeat_index,M,N,K,iters,ops_nominal,dtype,locality,operand_dist_a,operand_dist_b,util_frac,energy_j,duration_s,mean_power_w,meter_method,r_j_per_op,gpu_name,gpu_uuid,driver_version,cuda_version,torch_version,persistence_mode,sm_clock_mhz,mem_clock_mhz,power_limit_w,temperature_c,throttled,throttle_reasons,clocks_locked,timestamp_utc,trimmed,sm_clock_p50_mhz,sm_clock_min_mhz,sm_clock_max_mhz,temperature_max_c,throttle_union,idle_variant,cov_dtype,cov_dist,cov_iters,cov_ops_nominal,window_pad_s
0,e2958cc757b9,0,2048,2048,2048,18170,312158223073280,fp16,streamed,reference_drift,reference_drift,,646.894,1.3065825260127895,495.1038201728315,nvml_energy_counter,2.072327275671799e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,60.0,False,4,False,2026-07-22T02:31:29.464268+00:00,False,1365.0,1365.0,1380.0,56.0,4,,,,0,0,0.0
0,e2958cc757b9,1,2048,2048,2048,18170,312158223073280,fp16,streamed,reference_drift,reference_drift,,647.078,1.3097063910099678,494.06340569279183,nvml_energy_counter,2.072916720339277e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,60.0,False,4,False,2026-07-22T02:31:29.464268+00:00,False,1365.0,1365.0,1365.0,57.0,4,,,,0,0,0.0
0,e2958cc757b9,2,2048,2048,2048,18170,312158223073280,fp16,streamed,reference_drift,reference_drift,,649.07,1.3124931350466795,494.5321104303647,nvml_energy_counter,2.0792980995654535e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,60.0,False,4,False,2026-07-22T02:31:29.464268+00:00,False,1365.0,1350.0,1365.0,58.0,4,,,,0,0,0.0
0,e2958cc757b9,3,2048,2048,2048,18170,312158223073280,fp16,streamed,reference_drift,reference_drift,,650.767,1.311175809998531,496.3232199965077,nvml_energy_counter,2.0847344452214886e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,60.0,False,4,False,2026-07-22T02:31:29.464268+00:00,False,1365.0,1350.0,1365.0,59.0,4,,,,0,0,0.0
0,e2958cc757b9,4,2048,2048,2048,18170,312158223073280,fp16,streamed,reference_drift,reference_drift,,651.177,1.3138878329773434,495.61079999073934,nvml_energy_counter,2.086047881708804e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,60.0,False,4,False,2026-07-22T02:31:29.464268+00:00,True,1365.0,1350.0,1380.0,60.0,4,,,,0,0,0.0
1,e2958cc757b9,0,2048,2048,2048,7463,128213363720192,tf32,resident,zeros,zeros,,336.869,1.248790108016692,269.7563007886168,nvml_energy_counter,2.627409423054918e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,49.0,False,0,False,2026-07-22T02:31:39.614889+00:00,False,1410.0,1410.0,1410.0,49.0,0,,,,0,0,0.0
1,e2958cc757b9,1,2048,2048,2048,7463,128213363720192,tf32,resident,zeros,zeros,,364.853,1.248439610004425,292.2472157052969,nvml_energy_counter,2.8456706026077078e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,49.0,False,0,False,2026-07-22T02:31:39.614889+00:00,True,1410.0,1410.0,1410.0,49.0,0,,,,0,0,0.0
1,e2958cc757b9,2,2048,2048,2048,7463,128213363720192,tf32,resident,zeros,zeros,,336.321,1.2489594069775194,269.28096951837415,nvml_energy_counter,2.623135297611989e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,49.0,False,0,False,2026-07-22T02:31:39.614889+00:00,False,1410.0,1410.0,1410.0,49.0,0,,,,0,0,0.0
1,e2958cc757b9,3,2048,2048,2048,7463,128213363720192,tf32,resident,zeros,zeros,,364.532,1.247983312990982,292.0968543452264,nvml_energy_counter,2.843166963434021e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,49.0,False,0,False,2026-07-22T02:31:39.614889+00:00,False,1410.0,1410.0,1410.0,49.0,0,,,,0,0,0.0
1,e2958cc757b9,4,2048,2048,2048,7463,128213363720192,tf32,resident,zeros,zeros,,336.87,1.248479394998867,269.82423686720574,nvml_energy_counter,2.6274172225539015e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,49.0,False,0,False,2026-07-22T02:31:39.614889+00:00,False,1410.0,1410.0,1410.0,49.0,0,,,,0,0,0.0
