experiment,sweep_id,repeat_index,M,N,K,iters,flops,dtype,locality,operand_dist_a,operand_dist_b,util_frac,energy_j,duration_s,mean_power_w,meter_method,r_j_per_flop,gpu_name,gpu_uuid,driver_version,cuda_version,torch_version,persistence_mode,sm_clock_mhz,mem_clock_mhz,power_limit_w,temperature_c,throttled,throttle_reasons,clocks_locked,timestamp_utc
0,b835c2c71f65,0,8192,8192,8192,362,398023209254912,fp16,dram,reference_drift,reference_drift,,699.811,1.4169280900387093,493.89309515409616,nvml_energy_counter,1.758216565586781e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1335,1593,500.0,62.0,True,4,False,2026-06-18T02:33:31.284192+00:00
0,b835c2c71f65,1,8192,8192,8192,362,398023209254912,fp16,dram,reference_drift,reference_drift,,701.139,1.4194279679795727,493.95884526497525,nvml_energy_counter,1.7615530544374837e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1335,1593,500.0,62.0,True,4,False,2026-06-18T02:33:31.284192+00:00
0,b835c2c71f65,2,8192,8192,8192,362,398023209254912,fp16,dram,reference_drift,reference_drift,,701.531,1.416178869025316,495.3689222060121,nvml_energy_counter,1.7625379216283538e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1335,1593,500.0,62.0,True,4,False,2026-06-18T02:33:31.284192+00:00
0,b835c2c71f65,3,8192,8192,8192,362,398023209254912,fp16,dram,reference_drift,reference_drift,,702.772,1.41848521202337,495.438369073686,nvml_energy_counter,1.765655830260675e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1335,1593,500.0,62.0,True,4,False,2026-06-18T02:33:31.284192+00:00
2,b835c2c71f65,0,8192,8192,8192,386,424411488321536,fp16,dram,adversarial_toggle,adversarial_toggle,,749.203,1.535966555995401,487.77299028784535,nvml_energy_counter,1.7652750234517698e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1335,1593,500.0,68.0,True,4,False,2026-06-18T02:33:43.686309+00:00
2,b835c2c71f65,1,8192,8192,8192,386,424411488321536,fp16,dram,adversarial_toggle,adversarial_toggle,,750.473,1.536251693032682,488.5091443046726,nvml_energy_counter,1.768267402392836e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1335,1593,500.0,68.0,True,4,False,2026-06-18T02:33:43.686309+00:00
2,b835c2c71f65,2,8192,8192,8192,386,424411488321536,fp16,dram,adversarial_toggle,adversarial_toggle,,751.708,1.5332114669727162,490.28331459340484,nvml_energy_counter,1.7711773141977315e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1335,1593,500.0,68.0,True,4,False,2026-06-18T02:33:43.686309+00:00
2,b835c2c71f65,3,8192,8192,8192,386,424411488321536,fp16,dram,adversarial_toggle,adversarial_toggle,,798.129,1.534461141040083,520.1363388446676,nvml_energy_counter,1.8805546550034337e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1335,1593,500.0,68.0,True,4,False,2026-06-18T02:33:43.686309+00:00
2,b835c2c71f65,0,8192,8192,8192,382,420013441810432,fp16,dram,low_entropy,low_entropy,,532.446,1.421442926977761,374.5813425883193,nvml_energy_counter,1.2676879999481377e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,61.0,False,0,False,2026-06-18T02:33:55.172835+00:00
2,b835c2c71f65,1,8192,8192,8192,382,420013441810432,fp16,dram,low_entropy,low_entropy,,532.446,1.4213601620285772,374.60315423508746,nvml_energy_counter,1.2676879999481377e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,61.0,False,0,False,2026-06-18T02:33:55.172835+00:00
2,b835c2c71f65,2,8192,8192,8192,382,420013441810432,fp16,dram,low_entropy,low_entropy,,533.245,1.4213714729994535,375.1623063566332,nvml_energy_counter,1.2695903200180762e-12,NVIDIA A100-SXM4-80GB,GPU-ba29d029-6ff5-ad0f-e210-30d8d3965aea,595.71.05,13020,2.5.1+cu124,True,1410,1593,500.0,61.0,False,0,False,2026-06-18T02:33:55.172835+00:00
