experiment,sweep_id,repeat_index,M,N,K,iters,ops_nominal,dtype,locality,operand_dist_a,operand_dist_b,util_frac,energy_j,duration_s,mean_power_w,meter_method,r_j_per_op,gpu_name,gpu_uuid,driver_version,cuda_version,torch_version,persistence_mode,sm_clock_mhz,mem_clock_mhz,power_limit_w,temperature_c,throttled,throttle_reasons,clocks_locked,timestamp_utc,trimmed,sm_clock_p50_mhz,sm_clock_min_mhz,sm_clock_max_mhz,temperature_max_c,throttle_union,idle_variant,cov_dtype,cov_dist,cov_iters,cov_ops_nominal,window_pad_s
0,cbfbb110b29e,0,2048,2048,2048,18071,310457416024064,fp16,streamed,reference_drift,reference_drift,,652.032,1.3102175200474449,497.6517181485934,nvml_energy_counter,2.1002300681052507e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1350,1593,500.0,67.0,False,4,False,2026-07-22T02:44:38.372989+00:00,False,1357.5,1350.0,1380.0,65.0,4,,,,0,0,0.0
0,cbfbb110b29e,1,2048,2048,2048,18071,310457416024064,fp16,streamed,reference_drift,reference_drift,,653.724,1.3131826929748058,497.8164908030372,nvml_energy_counter,2.105680090918907e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1350,1593,500.0,67.0,False,4,False,2026-07-22T02:44:38.372989+00:00,False,1350.0,1350.0,1380.0,66.0,4,,,,0,0,0.0
0,cbfbb110b29e,2,2048,2048,2048,18071,310457416024064,fp16,streamed,reference_drift,reference_drift,,651.71,1.3163295370177366,495.0963886114019,nvml_energy_counter,2.0991928888227463e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1350,1593,500.0,67.0,False,4,False,2026-07-22T02:44:38.372989+00:00,False,1350.0,1350.0,1365.0,66.0,4,,,,0,0,0.0
0,cbfbb110b29e,3,2048,2048,2048,18071,310457416024064,fp16,streamed,reference_drift,reference_drift,,654.207,1.3133335759630427,498.12706533470174,nvml_energy_counter,2.1072358598426636e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1350,1593,500.0,67.0,False,4,False,2026-07-22T02:44:38.372989+00:00,True,1350.0,1335.0,1365.0,67.0,4,,,,0,0,0.0
0,cbfbb110b29e,4,2048,2048,2048,18071,310457416024064,fp16,streamed,reference_drift,reference_drift,,650.549,1.3176575789693743,493.71628136411334,nvml_energy_counter,2.09545324550912e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1350,1593,500.0,67.0,False,4,False,2026-07-22T02:44:38.372989+00:00,False,1350.0,1335.0,1380.0,67.0,4,,,,0,0,0.0
2,cbfbb110b29e,0,2048,2048,2048,19397,333237922562048,fp16,streamed,low_entropy,low_entropy,,493.125,1.3596695989836007,362.6800219469698,nvml_energy_counter,1.479798566167635e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,62.0,False,0,False,2026-07-22T02:44:49.293676+00:00,False,1410.0,1410.0,1410.0,61.0,0,,,,0,0,0.0
2,cbfbb110b29e,1,2048,2048,2048,19397,333237922562048,fp16,streamed,low_entropy,low_entropy,,493.101,1.3579461550107226,363.12264531291845,nvml_energy_counter,1.4797265455530078e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,62.0,False,0,False,2026-07-22T02:44:49.293676+00:00,False,1410.0,1410.0,1410.0,61.0,0,,,,0,0,0.0
2,cbfbb110b29e,2,2048,2048,2048,19397,333237922562048,fp16,streamed,low_entropy,low_entropy,,530.126,1.3581951629603282,390.3165130146208,nvml_energy_counter,1.5908333479101315e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,62.0,False,0,False,2026-07-22T02:44:49.293676+00:00,True,1410.0,1410.0,1410.0,61.0,0,,,,0,0,0.0
2,cbfbb110b29e,3,2048,2048,2048,19397,333237922562048,fp16,streamed,low_entropy,low_entropy,,492.749,1.356433688022662,363.26803466397513,nvml_energy_counter,1.4786702432051428e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,62.0,False,0,False,2026-07-22T02:44:49.293676+00:00,False,1410.0,1410.0,1410.0,62.0,0,,,,0,0,0.0
2,cbfbb110b29e,4,2048,2048,2048,19397,333237922562048,fp16,streamed,low_entropy,low_entropy,,529.055,1.3573692190111615,389.76498994534046,nvml_energy_counter,1.587619427982394e-12,NVIDIA A100-SXM4-80GB,GPU-ac1cbae9-37e9-404d-a624-959b7a66e772,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,62.0,False,0,False,2026-07-22T02:44:49.293676+00:00,False,1410.0,1410.0,1410.0,62.0,0,,,,0,0,0.0
