experiment,sweep_id,repeat_index,M,N,K,iters,ops_nominal,dtype,locality,operand_dist_a,operand_dist_b,util_frac,energy_j,duration_s,mean_power_w,meter_method,r_j_per_op,gpu_name,gpu_uuid,driver_version,cuda_version,torch_version,persistence_mode,sm_clock_mhz,mem_clock_mhz,power_limit_w,temperature_c,throttled,throttle_reasons,clocks_locked,timestamp_utc,trimmed,sm_clock_p50_mhz,sm_clock_min_mhz,sm_clock_max_mhz,temperature_max_c,throttle_union,idle_variant
0,efb7b61a6922,0,2048,2048,2048,18073,310491775762432,fp16,streamed,reference_drift,reference_drift,,654.588,1.3304739290033467,491.9961118594406,nvml_energy_counter,2.108229753888386e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1335,1593,500.0,68.0,False,4,False,2026-07-21T03:45:48.828974+00:00,False,1335.0,1320.0,1380.0,66.0,4,
0,efb7b61a6922,1,2048,2048,2048,18073,310491775762432,fp16,streamed,reference_drift,reference_drift,,700.201,1.3326784099917859,525.4088268784333,nvml_energy_counter,2.2551354163266084e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1335,1593,500.0,68.0,False,4,False,2026-07-21T03:45:48.828974+00:00,True,1335.0,1320.0,1350.0,66.0,4,
0,efb7b61a6922,2,2048,2048,2048,18073,310491775762432,fp16,streamed,reference_drift,reference_drift,,651.959,1.3310745249618776,489.7990215977368,nvml_energy_counter,2.099762540888801e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1335,1593,500.0,68.0,False,4,False,2026-07-21T03:45:48.828974+00:00,False,1342.5,1305.0,1380.0,67.0,4,
0,efb7b61a6922,3,2048,2048,2048,18073,310491775762432,fp16,streamed,reference_drift,reference_drift,,697.915,1.3321792160277255,523.8897226463522,nvml_energy_counter,2.2477729024745535e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1335,1593,500.0,68.0,False,4,False,2026-07-21T03:45:48.828974+00:00,False,1335.0,1320.0,1350.0,68.0,4,
0,efb7b61a6922,4,2048,2048,2048,18073,310491775762432,fp16,streamed,reference_drift,reference_drift,,647.537,1.3346791849471629,485.1630319128972,nvml_energy_counter,2.0855206177681596e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1335,1593,500.0,68.0,False,4,False,2026-07-21T03:45:48.828974+00:00,False,1335.0,1305.0,1395.0,68.0,4,
2,efb7b61a6922,0,2048,2048,2048,19067,327568565731328,fp16,streamed,low_entropy,low_entropy,,522.121,1.3329593819798902,391.70060772930367,nvml_energy_counter,1.593928888855117e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,64.0,False,0,False,2026-07-21T03:45:59.557414+00:00,False,1410.0,1410.0,1410.0,63.0,0,
2,efb7b61a6922,1,2048,2048,2048,19067,327568565731328,fp16,streamed,low_entropy,low_entropy,,520.755,1.3331397830042988,390.622953900942,nvml_energy_counter,1.5897587695491015e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,64.0,False,0,False,2026-07-21T03:45:59.557414+00:00,False,1410.0,1410.0,1410.0,63.0,0,
2,efb7b61a6922,2,2048,2048,2048,19067,327568565731328,fp16,streamed,low_entropy,low_entropy,,520.943,1.3334175979834981,390.68255945310165,nvml_energy_counter,1.5903326951929749e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,64.0,False,0,False,2026-07-21T03:45:59.557414+00:00,False,1410.0,1410.0,1410.0,63.0,0,
2,efb7b61a6922,3,2048,2048,2048,19067,327568565731328,fp16,streamed,low_entropy,low_entropy,,518.541,1.332767066953238,389.07098836513626,nvml_energy_counter,1.5829998792537005e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,64.0,False,0,False,2026-07-21T03:45:59.557414+00:00,False,1410.0,1410.0,1410.0,63.0,0,
2,efb7b61a6922,4,2048,2048,2048,19067,327568565731328,fp16,streamed,low_entropy,low_entropy,,561.162,1.333017390978057,420.97125198664224,nvml_energy_counter,1.7131130966341426e-12,NVIDIA A100-SXM4-80GB,GPU-7657e9bf-9b75-a6b8-af6b-966114659e91,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,64.0,False,0,False,2026-07-21T03:45:59.557414+00:00,True,1410.0,1410.0,1410.0,64.0,0,
