experiment,sweep_id,repeat_index,M,N,K,iters,flops,dtype,locality,operand_dist_a,operand_dist_b,util_frac,energy_j,duration_s,mean_power_w,meter_method,r_j_per_flop,gpu_name,gpu_uuid,driver_version,cuda_version,torch_version,persistence_mode,sm_clock_mhz,mem_clock_mhz,power_limit_w,temperature_c,throttled,throttle_reasons,clocks_locked,timestamp_utc
0,016bc12dea38,0,8192,8192,8192,361,396923697627136,fp16,dram,reference_drift,reference_drift,,700.789,1.4516565329977311,482.75124595267835,nvml_energy_counter,1.7655509212209103e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1305,1593,500.0,66.0,True,4,False,2026-06-18T02:33:27.654234+00:00
0,016bc12dea38,1,8192,8192,8192,361,396923697627136,fp16,dram,reference_drift,reference_drift,,701.043,1.4529382369946688,482.5002069255696,nvml_energy_counter,1.766190842700828e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1305,1593,500.0,66.0,True,4,False,2026-06-18T02:33:27.654234+00:00
0,016bc12dea38,2,8192,8192,8192,361,396923697627136,fp16,dram,reference_drift,reference_drift,,701.235,1.4548684129840694,481.99204391392504,nvml_energy_counter,1.7666745628746242e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1305,1593,500.0,66.0,True,4,False,2026-06-18T02:33:27.654234+00:00
0,016bc12dea38,3,8192,8192,8192,361,396923697627136,fp16,dram,reference_drift,reference_drift,,750.245,1.4531731490278617,516.2805275488995,nvml_energy_counter,1.8901491759878963e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1305,1593,500.0,66.0,True,4,False,2026-06-18T02:33:27.654234+00:00
3,016bc12dea38,0,8192,8192,8192,112,985162418487296,fp16,dram,dense_random,dense_random,0.875,1915.141,4.0925131069961935,467.96209320039725,nvml_energy_counter,1.9439850364376202e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1365,1593,500.0,70.0,True,4,False,2026-06-18T02:34:00.497377+00:00
3,016bc12dea38,1,8192,8192,8192,112,985162418487296,fp16,dram,dense_random,dense_random,0.875,1918.688,4.092744109977502,468.80233614472104,nvml_energy_counter,1.9475854579858217e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1365,1593,500.0,70.0,True,4,False,2026-06-18T02:34:00.497377+00:00
3,016bc12dea38,2,8192,8192,8192,112,985162418487296,fp16,dram,dense_random,dense_random,0.875,1924.853,4.09158715698868,470.4416467610213,nvml_energy_counter,1.9538433093657658e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1365,1593,500.0,70.0,True,4,False,2026-06-18T02:34:00.497377+00:00
3,016bc12dea38,3,8192,8192,8192,112,985162418487296,fp16,dram,dense_random,dense_random,0.875,1927.104,4.0953782859724015,470.5557986183518,nvml_energy_counter,1.9561282117917604e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1365,1593,500.0,70.0,True,4,False,2026-06-18T02:34:00.497377+00:00
3,016bc12dea38,0,8192,8192,8192,81,712483534798848,fp16,dram,dense_random,dense_random,0.625,1479.754,4.099079013976734,360.9967007111707,nvml_energy_counter,2.0768957143939776e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1395,1593,500.0,59.0,True,4,False,2026-06-18T02:34:33.401298+00:00
3,016bc12dea38,1,8192,8192,8192,81,712483534798848,fp16,dram,dense_random,dense_random,0.625,1482.863,4.097432757960632,361.9005088293501,nvml_energy_counter,2.081259324004799e-12,NVIDIA A100-SXM4-80GB,GPU-dffa343b-4544-b7b6-4b97-d1ec23edab0a,595.71.05,13020,2.5.1+cu124,True,1395,1593,500.0,59.0,True,4,False,2026-06-18T02:34:33.401298+00:00
