experiment,sweep_id,repeat_index,M,N,K,iters,ops_nominal,dtype,locality,operand_dist_a,operand_dist_b,util_frac,energy_j,duration_s,mean_power_w,meter_method,r_j_per_op,gpu_name,gpu_uuid,driver_version,cuda_version,torch_version,persistence_mode,sm_clock_mhz,mem_clock_mhz,power_limit_w,temperature_c,throttled,throttle_reasons,clocks_locked,timestamp_utc,trimmed,sm_clock_p50_mhz,sm_clock_min_mhz,sm_clock_max_mhz,temperature_max_c,throttle_union,idle_variant
0,65295e34a0a2,0,2048,2048,2048,17970,308722249236480,fp16,streamed,reference_drift,reference_drift,,647.657,1.294535821012687,500.3005629410488,nvml_energy_counter,2.097863051988512e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,60.0,False,4,False,2026-07-21T04:50:40.925192+00:00,False,1365.0,1365.0,1380.0,56.0,4,
0,65295e34a0a2,1,2048,2048,2048,17970,308722249236480,fp16,streamed,reference_drift,reference_drift,,647.077,1.2951684560393915,499.60836907559747,nvml_energy_counter,2.095984340617905e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,60.0,False,4,False,2026-07-21T04:50:40.925192+00:00,False,1365.0,1365.0,1380.0,57.0,4,
0,65295e34a0a2,2,2048,2048,2048,17970,308722249236480,fp16,streamed,reference_drift,reference_drift,,648.45,1.2959153350093402,500.3799110034657,nvml_energy_counter,2.100431703914187e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,60.0,False,4,False,2026-07-21T04:50:40.925192+00:00,False,1365.0,1365.0,1380.0,58.0,4,
0,65295e34a0a2,3,2048,2048,2048,17970,308722249236480,fp16,streamed,reference_drift,reference_drift,,650.35,1.2959193019778468,501.84451995384933,nvml_energy_counter,2.1065861032316933e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,60.0,False,4,False,2026-07-21T04:50:40.925192+00:00,True,1365.0,1365.0,1380.0,59.0,4,
0,65295e34a0a2,4,2048,2048,2048,17970,308722249236480,fp16,streamed,reference_drift,reference_drift,,649.356,1.2984856899711303,500.0871438286219,nvml_energy_counter,2.1033663806413767e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,60.0,False,4,False,2026-07-21T04:50:40.925192+00:00,False,1365.0,1350.0,1380.0,60.0,4,
4,65295e34a0a2,0,2048,2048,2048,24281,417144403656704,int8,resident,dense_random,dense_random,,621.688,1.8051676439936273,344.39349833715204,nvml_energy_counter,1.490342419915643e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,53.0,False,0,False,2026-07-21T04:50:53.785724+00:00,False,1410.0,1410.0,1410.0,58.0,0,
4,65295e34a0a2,1,2048,2048,2048,24281,417144403656704,int8,resident,dense_random,dense_random,,645.297,2.4934095760108903,258.80104344204284,nvml_energy_counter,1.5469391278974416e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,53.0,False,0,False,2026-07-21T04:50:53.785724+00:00,True,1410.0,1410.0,1410.0,53.0,0,
4,65295e34a0a2,2,2048,2048,2048,24281,417144403656704,int8,resident,dense_random,dense_random,,557.639,1.364030366006773,408.81714505557505,nvml_energy_counter,1.336800865867347e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,53.0,False,0,False,2026-07-21T04:50:53.785724+00:00,False,1410.0,1410.0,1410.0,57.0,0,
4,65295e34a0a2,3,2048,2048,2048,24281,417144403656704,int8,resident,dense_random,dense_random,,581.829,1.3632598219555803,426.79245044086537,nvml_energy_counter,1.3947903769046508e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,53.0,False,0,False,2026-07-21T04:50:53.785724+00:00,False,1410.0,1410.0,1410.0,58.0,0,
4,65295e34a0a2,4,2048,2048,2048,24281,417144403656704,int8,resident,dense_random,dense_random,,541.605,1.3633800480165519,397.25166932575263,nvml_energy_counter,1.2983633371376186e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,53.0,False,0,False,2026-07-21T04:50:53.785724+00:00,False,1410.0,1410.0,1410.0,59.0,0,
