experiment,sweep_id,repeat_index,M,N,K,iters,ops_nominal,dtype,locality,operand_dist_a,operand_dist_b,util_frac,energy_j,duration_s,mean_power_w,meter_method,r_j_per_op,gpu_name,gpu_uuid,driver_version,cuda_version,torch_version,persistence_mode,sm_clock_mhz,mem_clock_mhz,power_limit_w,temperature_c,throttled,throttle_reasons,clocks_locked,timestamp_utc,trimmed,sm_clock_p50_mhz,sm_clock_min_mhz,sm_clock_max_mhz,temperature_max_c,throttle_union,idle_variant
0,99c98d91aec3,0,2048,2048,2048,18073,310491775762432,fp16,streamed,reference_drift,reference_drift,,646.445,1.302419844956603,496.34148504665933,nvml_energy_counter,2.0820036164005115e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,64.0,False,4,False,2026-07-21T04:33:07.539655+00:00,False,1365.0,1365.0,1365.0,60.0,4,
0,99c98d91aec3,1,2048,2048,2048,18073,310491775762432,fp16,streamed,reference_drift,reference_drift,,647.888,1.3036737659713253,496.9709576975951,nvml_energy_counter,2.086651082493475e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,64.0,False,4,False,2026-07-21T04:33:07.539655+00:00,False,1365.0,1350.0,1365.0,61.0,4,
0,99c98d91aec3,2,2048,2048,2048,18073,310491775762432,fp16,streamed,reference_drift,reference_drift,,648.918,1.304460622020997,497.4607811423492,nvml_energy_counter,2.0899684006332897e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,64.0,False,4,False,2026-07-21T04:33:07.539655+00:00,False,1365.0,1350.0,1365.0,62.0,4,
0,99c98d91aec3,3,2048,2048,2048,18073,310491775762432,fp16,streamed,reference_drift,reference_drift,,650.511,1.3046420920290984,498.61261105585356,nvml_energy_counter,2.0950989713097216e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,64.0,False,4,False,2026-07-21T04:33:07.539655+00:00,True,1365.0,1350.0,1395.0,63.0,4,
0,99c98d91aec3,4,2048,2048,2048,18073,310491775762432,fp16,streamed,reference_drift,reference_drift,,650.133,1.3060310360160656,497.79291768071175,nvml_energy_counter,2.093881547759382e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,64.0,False,4,False,2026-07-21T04:33:07.539655+00:00,False,1365.0,1350.0,1380.0,64.0,4,
4,99c98d91aec3,0,2048,2048,2048,24728,424823805181952,int8,resident,dense_random,dense_random,,570.165,1.3954320310149342,408.5938887222648,nvml_energy_counter,1.3421211171436082e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,62.0,False,0,False,2026-07-21T04:33:18.761235+00:00,False,1410.0,1410.0,1410.0,60.0,0,
4,99c98d91aec3,1,2048,2048,2048,24728,424823805181952,int8,resident,dense_random,dense_random,,569.774,1.3955357159720734,408.2833520338235,nvml_energy_counter,1.3412007355754601e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,62.0,False,0,False,2026-07-21T04:33:18.761235+00:00,False,1410.0,1410.0,1410.0,61.0,0,
4,99c98d91aec3,2,2048,2048,2048,24728,424823805181952,int8,resident,dense_random,dense_random,,570.719,1.3956488179974258,408.92736957919504,nvml_energy_counter,1.3434251871915726e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,62.0,False,0,False,2026-07-21T04:33:18.761235+00:00,False,1410.0,1410.0,1410.0,61.0,0,
4,99c98d91aec3,3,2048,2048,2048,24728,424823805181952,int8,resident,dense_random,dense_random,,571.575,1.3953863959759474,409.61772427216096,nvml_energy_counter,1.3454401401898712e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,62.0,False,0,False,2026-07-21T04:33:18.761235+00:00,False,1410.0,1410.0,1410.0,61.0,0,
4,99c98d91aec3,4,2048,2048,2048,24728,424823805181952,int8,resident,dense_random,dense_random,,572.163,1.3954953200300224,410.0071077183481,nvml_energy_counter,1.3468242434176745e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,62.0,False,0,False,2026-07-21T04:33:18.761235+00:00,True,1410.0,1410.0,1410.0,62.0,0,
