experiment,sweep_id,repeat_index,M,N,K,iters,ops_nominal,dtype,locality,operand_dist_a,operand_dist_b,util_frac,energy_j,duration_s,mean_power_w,meter_method,r_j_per_op,gpu_name,gpu_uuid,driver_version,cuda_version,torch_version,persistence_mode,sm_clock_mhz,mem_clock_mhz,power_limit_w,temperature_c,throttled,throttle_reasons,clocks_locked,timestamp_utc,trimmed,sm_clock_p50_mhz,sm_clock_min_mhz,sm_clock_max_mhz,temperature_max_c,throttle_union,idle_variant
0,dcf016ca4ecf,0,2048,2048,2048,16758,287900247785472,fp16,streamed,reference_drift,reference_drift,,602.196,1.205457236035727,499.55816100153413,nvml_energy_counter,2.0916828124744255e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,63.0,False,4,False,2026-07-21T03:59:00.739945+00:00,True,1365.0,1350.0,1380.0,59.0,4,
0,dcf016ca4ecf,1,2048,2048,2048,16758,287900247785472,fp16,streamed,reference_drift,reference_drift,,599.007,1.207950992975384,495.8868393530984,nvml_energy_counter,2.0806060592429506e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,63.0,False,4,False,2026-07-21T03:59:00.739945+00:00,False,1365.0,1350.0,1380.0,60.0,4,
0,dcf016ca4ecf,2,2048,2048,2048,16758,287900247785472,fp16,streamed,reference_drift,reference_drift,,599.463,1.208611551031936,495.99310836320143,nvml_energy_counter,2.082189941172569e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,63.0,False,4,False,2026-07-21T03:59:00.739945+00:00,False,1365.0,1350.0,1395.0,61.0,4,
0,dcf016ca4ecf,3,2048,2048,2048,16758,287900247785472,fp16,streamed,reference_drift,reference_drift,,600.542,1.2093296180246398,496.59083102665244,nvml_energy_counter,2.0859377670542753e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,63.0,False,4,False,2026-07-21T03:59:00.739945+00:00,False,1365.0,1350.0,1380.0,62.0,4,
0,dcf016ca4ecf,4,2048,2048,2048,16758,287900247785472,fp16,streamed,reference_drift,reference_drift,,598.323,1.2107867110171355,494.1605276600465,nvml_energy_counter,2.0782302363485236e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1365,1593,500.0,63.0,False,4,False,2026-07-21T03:59:00.739945+00:00,False,1365.0,1335.0,1365.0,63.0,4,
4,dcf016ca4ecf,0,2048,2048,2048,24314,417711339339776,int8,resident,dense_random,dense_random,,529.242,1.370518583978992,386.1618559475969,nvml_energy_counter,1.2670041489333437e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,61.0,False,0,False,2026-07-21T03:59:11.873861+00:00,False,1410.0,1410.0,1410.0,60.0,0,
4,dcf016ca4ecf,1,2048,2048,2048,24314,417711339339776,int8,resident,dense_random,dense_random,,570.138,1.3706300429766998,415.96782656375217,nvml_energy_counter,1.3649090802781312e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,61.0,False,0,False,2026-07-21T03:59:11.873861+00:00,False,1410.0,1410.0,1410.0,60.0,0,
4,dcf016ca4ecf,2,2048,2048,2048,24314,417711339339776,int8,resident,dense_random,dense_random,,570.789,1.3706085229641758,416.449329211503,nvml_energy_counter,1.366467572803206e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,61.0,False,0,False,2026-07-21T03:59:11.873861+00:00,True,1410.0,1410.0,1410.0,61.0,0,
4,dcf016ca4ecf,3,2048,2048,2048,24314,417711339339776,int8,resident,dense_random,dense_random,,531.58,1.3706077110255137,387.8425575194394,nvml_energy_counter,1.2726013156363003e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,61.0,False,0,False,2026-07-21T03:59:11.873861+00:00,False,1410.0,1410.0,1410.0,61.0,0,
4,dcf016ca4ecf,4,2048,2048,2048,24314,417711339339776,int8,resident,dense_random,dense_random,,532.671,1.3704817349789664,388.6742788353726,nvml_energy_counter,1.275213167164498e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,61.0,False,0,False,2026-07-21T03:59:11.873861+00:00,False,1410.0,1410.0,1410.0,61.0,0,
4,dcf016ca4ecf,0,2048,2048,2048,1535,26371099197440,fp32,streamed,dense_random,dense_random,,495.777,1.4926560400053859,332.1441689930194,nvml_energy_counter,1.880001270664243e-11,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,59.0,False,0,False,2026-07-21T03:59:23.949562+00:00,False,1410.0,1410.0,1410.0,59.0,0,
4,dcf016ca4ecf,1,2048,2048,2048,1535,26371099197440,fp32,streamed,dense_random,dense_random,,462.645,1.4926035609678365,309.95839223377635,nvml_energy_counter,1.7543637318118e-11,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,59.0,False,0,False,2026-07-21T03:59:23.949562+00:00,False,1410.0,1410.0,1410.0,59.0,0,
4,dcf016ca4ecf,2,2048,2048,2048,1535,26371099197440,fp32,streamed,dense_random,dense_random,,462.993,1.4925590580096468,310.2007907261031,nvml_energy_counter,1.7556833582611736e-11,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,59.0,False,0,False,2026-07-21T03:59:23.949562+00:00,False,1410.0,1410.0,1410.0,59.0,0,
4,dcf016ca4ecf,3,2048,2048,2048,1535,26371099197440,fp32,streamed,dense_random,dense_random,,495.821,1.492633577028755,332.17864560368804,nvml_energy_counter,1.8801681199854284e-11,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,59.0,False,0,False,2026-07-21T03:59:23.949562+00:00,True,1410.0,1410.0,1410.0,59.0,0,
4,dcf016ca4ecf,4,2048,2048,2048,1535,26371099197440,fp32,streamed,dense_random,dense_random,,495.777,1.492623908969108,332.15131890953836,nvml_energy_counter,1.880001270664243e-11,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,59.0,False,0,False,2026-07-21T03:59:23.949562+00:00,False,1410.0,1410.0,1410.0,59.0,0,
4,dcf016ca4ecf,0,2048,2048,2048,25042,430218284105728,int8,streamed,dense_random,dense_random,,669.546,1.4110892709577456,474.4887611154187,nvml_energy_counter,1.5562936879629604e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,67.0,False,0,False,2026-07-21T03:59:35.291941+00:00,True,1410.0,1410.0,1410.0,66.0,0,
4,dcf016ca4ecf,1,2048,2048,2048,25042,430218284105728,int8,streamed,dense_random,dense_random,,625.94,1.411310499010142,443.5168592871794,nvml_energy_counter,1.4549358386780525e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,67.0,False,0,False,2026-07-21T03:59:35.291941+00:00,False,1410.0,1410.0,1410.0,66.0,0,
4,dcf016ca4ecf,2,2048,2048,2048,25042,430218284105728,int8,streamed,dense_random,dense_random,,625.793,1.4114289399585687,443.3754915202246,nvml_energy_counter,1.4545941516660614e-12,NVIDIA A100-SXM4-80GB,GPU-617f2717-9853-b1ea-bbf3-2a96938015c0,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,67.0,False,0,False,2026-07-21T03:59:35.291941+00:00,False,1410.0,1410.0,1410.0,67.0,0,
