experiment,sweep_id,repeat_index,M,N,K,iters,ops_nominal,dtype,locality,operand_dist_a,operand_dist_b,util_frac,energy_j,duration_s,mean_power_w,meter_method,r_j_per_op,gpu_name,gpu_uuid,driver_version,cuda_version,torch_version,persistence_mode,sm_clock_mhz,mem_clock_mhz,power_limit_w,temperature_c,throttled,throttle_reasons,clocks_locked,timestamp_utc,trimmed,sm_clock_p50_mhz,sm_clock_min_mhz,sm_clock_max_mhz,temperature_max_c,throttle_union,idle_variant
6,d7ba70b76931,0,512,8,4096,155,255636453457920,int8,model,qblock_typical,qblock_typical,,450.957,1.402013476996217,321.64954716852327,nvml_energy_counter,1.7640559235587716e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,47.0,False,0,False,2026-07-21T04:44:44.679444+00:00,False,1410.0,1410.0,1410.0,44.0,0,
6,d7ba70b76931,1,512,8,4096,155,255636453457920,int8,model,qblock_typical,qblock_typical,,452.052,1.4029280309914611,322.22037767720064,nvml_energy_counter,1.7683393502187345e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,47.0,False,0,False,2026-07-21T04:44:44.679444+00:00,False,1410.0,1410.0,1410.0,45.0,0,
6,d7ba70b76931,2,512,8,4096,155,255636453457920,int8,model,qblock_typical,qblock_typical,,453.152,1.4023295589722693,323.1423006815197,nvml_energy_counter,1.7726423359045418e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,47.0,False,0,False,2026-07-21T04:44:44.679444+00:00,False,1410.0,1410.0,1410.0,46.0,0,
6,d7ba70b76931,3,512,8,4096,155,255636453457920,int8,model,qblock_typical,qblock_typical,,453.421,1.4034391769673675,323.07848280235294,nvml_energy_counter,1.7736946114949801e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,47.0,False,0,False,2026-07-21T04:44:44.679444+00:00,False,1410.0,1410.0,1410.0,46.0,0,
6,d7ba70b76931,4,512,8,4096,155,255636453457920,int8,model,qblock_typical,qblock_typical,,454.154,1.4022785039851442,323.8686171893364,nvml_energy_counter,1.7765619646837956e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,47.0,False,0,False,2026-07-21T04:44:44.679444+00:00,True,1410.0,1410.0,1410.0,47.0,0,
6,d7ba70b76931,0,2048,4,4096,61,201210627883008,int8,model,qblock_typical,qblock_typical,,434.831,1.4946103330003098,290.9326868676947,nvml_energy_counter,2.1610737194897496e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,50.0,False,0,False,2026-07-21T04:44:56.739011+00:00,False,1410.0,1410.0,1410.0,48.0,0,
6,d7ba70b76931,1,2048,4,4096,61,201210627883008,int8,model,qblock_typical,qblock_typical,,466.942,1.494874631986022,312.36198006761424,nvml_energy_counter,2.320662705110681e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,50.0,False,0,False,2026-07-21T04:44:56.739011+00:00,True,1410.0,1410.0,1410.0,49.0,0,
6,d7ba70b76931,2,2048,4,4096,61,201210627883008,int8,model,qblock_typical,qblock_typical,,465.29,1.494518770952709,311.3309842896066,nvml_energy_counter,2.3124524032127094e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,50.0,False,0,False,2026-07-21T04:44:56.739011+00:00,False,1410.0,1410.0,1410.0,49.0,0,
6,d7ba70b76931,3,2048,4,4096,61,201210627883008,int8,model,qblock_typical,qblock_typical,,464.687,1.494750635989476,310.87927899919737,nvml_energy_counter,2.309455543621621e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,50.0,False,0,False,2026-07-21T04:44:56.739011+00:00,False,1410.0,1410.0,1410.0,50.0,0,
6,d7ba70b76931,4,2048,4,4096,61,201210627883008,int8,model,qblock_typical,qblock_typical,,466.512,1.4943681790027767,312.1800949424079,nvml_energy_counter,2.3185256410573348e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,50.0,False,0,False,2026-07-21T04:44:56.739011+00:00,False,1410.0,1410.0,1410.0,50.0,0,
6,d7ba70b76931,0,2048,8,4096,31,204509162766336,int8,model,qblock_typical,qblock_typical,,476.579,1.5073186189983971,316.1766822177805,nvml_energy_counter,2.330355244495916e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,52.0,False,0,False,2026-07-21T04:45:08.948427+00:00,False,1410.0,1410.0,1410.0,52.0,0,
6,d7ba70b76931,1,2048,8,4096,31,204509162766336,int8,model,qblock_typical,qblock_typical,,477.117,1.5068901570048183,316.6236090813316,nvml_energy_counter,2.332985933472012e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,52.0,False,0,False,2026-07-21T04:45:08.948427+00:00,False,1410.0,1410.0,1410.0,52.0,0,
6,d7ba70b76931,2,2048,8,4096,31,204509162766336,int8,model,qblock_typical,qblock_typical,,510.473,1.5069734419812448,338.74054165737124,nvml_energy_counter,2.496088649989957e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,52.0,False,0,False,2026-07-21T04:45:08.948427+00:00,True,1410.0,1410.0,1410.0,52.0,0,
6,d7ba70b76931,3,2048,8,4096,31,204509162766336,int8,model,qblock_typical,qblock_typical,,479.083,1.5069535850198008,317.9149011372537,nvml_energy_counter,2.3425991946746226e-12,NVIDIA A100-SXM4-80GB,GPU-aa412071-d605-ad1c-d99f-5a4bfd2038e4,595.84,13020,2.5.1+cu124,True,1410,1593,500.0,52.0,False,0,False,2026-07-21T04:45:08.948427+00:00,False,1410.0,1410.0,1410.0,52.0,0,
